 podid , operatorid ,               description               , config_id , active ,      muid       , provider 
482,93, 13-9 Parks WTS                          ,8741, t      ,5053897185, verizon
1426,93, A B Harrington                          ,8453, t      ,5057962982, ATT 
1506,93, Amacker #46                             ,8807, t      ,5052205825, ATT
1870,93, Amacker #46 Flow Back Pit               ,8807, t      ,5052205825, ATT
1325,93, American Republic A #40                 ,8910, t      ,5053795492, verizon
1324,93, American Republic A # 8                 ,8753, t      ,5053773722, ATT
1391,93, Arch Benge                              ,8104, t      ,5053661283, ATT
528,93, Benjamin                                ,8892, t      ,5052499282, ATT
582,93, Benjamin A-B                            ,8892, t      ,5052499282, ATT
1874,93, Benjamin Flow Back Pit                  ,8892, t      ,5052499282, ATT
550,93, Benjamin TF N. Test 2                   ,8893, t      ,5052390393, ATT
551,93, Benjamin TF N. Test 3                   ,8893, t      ,5052390393, ATT
552,93, Benjamin TF S.Test 1                    ,8893, t      ,5052390393, ATT
553,93, Benjamin TF S. Test 2                   ,8893, t      ,5052390393, ATT
584,93, Benjamin Water System                   ,8893, t      ,5052390393, ATT
1347,93, Big Chief 148-1 Battery                 ,8499, t      ,5059675107, verizon
2280,93, Big Chief 34 - 35 Battery               ,5627, t      ,5056810860, ATT
2519,93, Big Chief 46                            ,6661, t      ,5053217729, ATT
2618,93, Big Chief 73                            ,7337, t      ,5052805360, verizon
1851,93, Big Chief 75                            ,6645, t      ,5059678008, verizon
2040,93, Big Chief 76                            ,8549, t      ,5053628634, ATT
1881,93, Billie Battery                          ,9659, t      ,5053599536, ATT
1662,93, Blackwell Water Transfer Station        ,7601, t      ,5052690179, verizon
1882,93, C B Haley A #5                          ,8741, t      ,5053897185, verizon
1809,93, Chevron 43 Flow Back Pit                ,8801, t      ,5052386682, ATT
2616,93, Cimmaron #3602                          ,7326, t      ,5053792756, ATT
481,93, Cindy Kay                               ,8750, t      ,5053667967, ATT
604,93, Cowden                                  ,8754, t      ,5053794362, ATT
1896,93, Cowden Wedge Meter                      ,9697, t      ,5059678700, verizon
2400,93, Currie #26 Battery                      ,6053, t      ,5053792713, ATT
2181,93, Currie #27                              ,9852, t      ,5055540090, ATT
1655,93, Currie #2707 Booster Station            ,9852, t      ,5055540090, ATT
2186,93, Currie #30                              ,6609, t      ,5053507495, ATT
1614,93, Currie #34 Battery                      ,9852, t      ,5055540090, ATT
1338,93, Currie #35 Battery                      ,8774, t      ,5053734232, ATT
1916,93, Currie #36 Battery                      ,8188, t      ,5053820426, ATT
2185,93, Currie #37                              ,9630, t      ,9152383543, ATT
2184,93, Currie #43 Battery                      ,9844, t      ,4322324378, ATT
2183,93, Currie #6                               ,9748, t      ,5052063588, ATT
1709,93, Currie A-4 Battery                      ,3792, t      ,5055062453, ATT
1568,93, Currie A North #40 Battery              ,2753, t      ,5053589418, ATT
1339,93, Currie E-31 Battery                     ,9844, t      ,4322324378, ATT
1947,93, Currie E-32 North                       ,9728, t      ,5052706698, ATT
1654,93, Currie E-38 Battery                     ,8192, t      ,5056972658, ATT
1567,93, Currie E-42 Battery                     ,9844, t      ,4322324378, ATT
1441,93, Currie E-44 Battery                     ,6010, t      ,5053585242, ATT
2646,93, Currie E-5                              ,8107, t      ,5056972562, ATT
1816,93, Dawn / Meredith Battery                 ,8746, t      ,5052740132, ATT
1871,93, Dorothy 1H Flow Back Pit                ,8746, t      ,5052740132, ATT
1220,93, Dubya #12 Battery                       ,9715, t      ,5052691382, ATT
1547,93, Field Inlet South                       ,9652, t      ,5059480061, ATT
1569,93, Glass #8 Battery                        ,8962, t      ,5054010668, ATT
1890,93, Glenna Battery                          ,4453, t      ,5059484378, ATT
2548,93, Gunnison State                          ,8665, t      ,5052887227, verizon
546,93, Halff Section 59                        ,8757, t      ,5054150526, ATT
1780,93, Hannah SWD                              ,9212, t      ,5052701157, ATT
2571,93, Hoefs Ranch 1-26                        ,7236, t      ,5052217250, ATT
2561,93, Hoefs Ranch 1-66                        ,8387, t      ,5052218310, ATT
2572,93, Hoefs Ranch 1-96                        ,7071, t      ,5054497122, ATT
2491,93, Ignacio                                 ,9581, t      ,5052219703, ATT
1160,93, Janet #1                                ,8903, t      ,5052182866, ATT
2573,93, John H 95                               ,8608, t      ,5054019277, verizon
2554,93, Kristen T 65                            ,8610, t      ,5052887240, verizon
2657,93, Larimer State Unit                      ,9451, t      ,5053824750, ATT
1630,93, Lion State 2208-H                       ,9194, t      ,5052524438, verizon
2579,93, McCoy Remme 99 #1                       ,7141, t      ,5052218398, ATT
2578,93, McCoy Remme 99 #102                     ,7140, t      ,5052887504, ATT
1873,93, McGill Flow Back Pit                    ,3952, t      ,5054147661, ATT
1632,93, Midkiff 3D SWD                          ,8785, t      ,5052499563, ATT
1880,93, Miranda Battery                         ,9658, t      ,4325574409, ATT
1852,93, Monarch 38 01H                          ,6418, t      ,5055060643, ATT
1418,93, MV Benge 26-1                           ,8740, t      ,5052633617, ATT
2469,93, MV Benge 26-1 Oil                       ,9729, t      ,5053624302, verizon
1584,93, Neal Ranch #42 A                        ,8801, t      ,5052386682, ATT
1806,93, Neal Ranch #96 Flow Back Pit            ,9652, t      ,5059480061, ATT
1804,93, Neal Ranch #97 Flow Back Pit            ,9652, t      ,5059480061, ATT
925,93, Neal Ranch SWD                          ,9652, t      ,5059480061, ATT
1470,93, Neal Ranch SWD H-Pumps                  ,9652, t      ,5059480061, ATT
802,93, Not in Use Johnnie Mae SWD              ,2489, t      ,5053144668, ATT
2104,93, Old Hickory State #1503H                ,8076, t      ,5053310141, ATT
1613,93, Ora HolzGraf B                          ,8927, t      ,5053893898, ATT
2437,93, Ouray                                   ,9734, t      ,5054144670, ATT
1301,93, Pegasus Central Office                  ,8914, t      ,5054527657, verizon
1174,93, Pegasus Penn. Water Station             ,8924, t      ,5053186402, verizon
1174,93, Pegasus Penn. Water Station             ,8915, t      ,5052219403, ATT
2791,93, Pelican SWD                             ,9309, t      ,4325574275, ATT
1389,93, PFU 2 14-27                             ,8752, t      ,5053628801, verizon
1495,93, PFU 2 18-31                             ,8756, t      ,5052634827, ATT
1496,93, PFU 2 18-34                             ,9738, t      ,5056971267, ATT
2427,93, PFU 2 1921H                             ,6208, t      ,5052254132, ATT
1465,93, PFU 2 23-28                             ,8764, t      ,5053286750, ATT
2598,93, PFU 2 23-29H                            ,9165, t      ,5052066312, verizon
1497,93, PFU 2 24-16                             ,9390, t      ,9152184103, ATT
1451,93, PFU 2 907                               ,8773, t      ,5052082384, ATT
1924,93, PFU 3-1080                              ,6724, t      ,5055066745, ATT
1986,93, PFU 3 1323 Battery                      ,8923, t      ,5052526910, ATT
2298,93, PFU 3-1729                              ,9085, t      ,5052219603, ATT
1675,93, PFU 3-2009                              ,8914, t      ,5054527657, verizon
