Daily report: CIRIS Morning Report              Generated 05/02/2012 14:43
Report period: from  05/01/2012 05:00  to  05/02/2012 05:00

Rtu Name,Rtu ID  ,Rtu#,Diff-P,Line-P,Line-T,   Water,  Flow,FlowTm,WtrLvl,Casing,DownHP, MMBTU,
,,,                      inch,  psig,     F,    brls,   mcf, hh:mm,  Feet,  psig,  psig,mmbtuD,

State 16-7                    ,STATCHEK    ,3511,     0, 0.075,53.604, 0.000, 0.000, 00:00, 0.000,     0,     0, 0.000,
Section  11: Total Gas Production:  0.000 mcf    0.000 MMBTU   Total Water: 0.000 brls

Diamond T 43-5                ,43054174    ,0125,20.561,-8.593,62.994, 0.000,27.742, 24:00,38.000,-13.676,-5.233,25.384,
Diamond T 34-5                ,34054174    ,0127,41.372,-7.742,64.925, 0.000,40.983, 24:00,41.889,-15.000,-5.721,36.065,
Diamond T 23-5                ,23054174    ,0129,     0, 0.017,53.089, 0.000, 0.000, 00:00,60.030,-15.000,-1.673, 0.000,
Diamond T 22-5                ,22054174    ,0130,41.035,-8.445,67.926, 0.000,16.304, 24:00,26.000,-15.000,-9.294,14.739,
Diamond T 13-5                ,13054174    ,0131,62.735,-7.707,69.978, 0.000,21.018, 24:00, 0.000, 5.376,-14.332,18.433,
Diamond T 12-5                ,12054174    ,0132,41.225,-8.821,55.302, 0.000,15.294, 24:00,56.000,-15.000,-2.827,13.642,
Palm 43-18                    ,43184174    ,0133,     0, 0.110,53.968, 0.000, 0.000, 00:00,121.474, 0.099,26.547, 0.000,
Palm 32-19                    ,32194174    ,0134,27.278, 3.479,59.683,15.938,52.191, 24:00,48.548, 3.471,13.998,48.799,
Diamond T 32-6                ,32064174    ,0135,17.820, 6.831,99.717, 0.000,15.148, 24:00,16.000,-9.840,-6.086,13.770,
Diamond T 42-6                ,42064174    ,0136,23.398, 7.664,98.726, 0.000,17.569, 24:00, 4.035,-9.223,-8.111,15.812,
Diamond T 43-6                ,43064174    ,0137,36.526, 6.797,101.405, 0.000,21.410, 24:00, 5.995,-9.787,-8.315,19.590,
Diamond T 33-6                ,33064174    ,0138,10.118, 6.101,101.792, 0.000,20.159, 24:00,57.065,-15.000,-2.466,18.546,
Diamond T 21-6                ,21064174    ,0139,15.085, 9.480,99.036, 0.000,14.902, 24:00,115.776,-9.402,15.743,13.531,
Diamond T 12-6                ,12064174    ,0140,     0, 0.106,53.643, 0.000, 0.000, 00:00,26.724,-3.031, 2.981, 0.000,
Diamond T 43-7                ,43074174    ,0152,     0, 0.059,53.965, 0.000, 0.000, 00:00,48.000, 0.135,10.836, 0.000,
Diamond T23-7                 ,23074174    ,0153,     0, 0.082,54.833, 0.000, 0.000, 00:00,26.000, 0.101, 6.051, 0.000,
Diamond T 14-7                ,14074774    ,0154,     0, 0.049,55.227, 0.000, 0.000, 00:00,27.908, 0.051, 6.257, 0.000,
Diamond T 34-7                ,34074174    ,0155,     0, 0.072,52.020, 0.000, 0.000, 00:00,246.000,-15.000,38.531, 0.000,
Diamond T 21-18               ,21184174    ,0156,     0, 0.217,54.482, 0.000, 0.000, 00:00,66.551, 0.042,14.695, 0.000,
Diamond T 12-18               ,12184174    ,0157,48.937, 4.190,66.840, 0.000,10.610, 24:00,11.266, 4.151, 6.795, 9.921,
Diamond T 42-13               ,42134175    ,0158,     0, 0.098,54.279, 0.000, 0.000, 00:00, 1.338, 0.096, 0.557, 0.000,
